primary,count,cumulative_count,cumulative_percent,tag
sailing_club,5,2097858,99.97602891018276,Social & Leisure
auto_loan_provider,5,2097863,99.97626719139366,Essential needs
pasta_shop,5,2097868,99.97650547260457,Essential needs
hazardous_waste_disposal,4,2097872,99.9766960975733,Civic and utility
musical_band_orchestras_and_symphonies,4,2097876,99.97688672254202,Social & Leisure
metro_station,4,2097880,99.97707734751074,Civic and utility
religious_items,4,2097884,99.97726797247948,Other
aesthetician,4,2097888,99.9774585974482,Health services
immigration_assistance_services,4,2097892,99.97764922241691,Civic and utility
trucks_and_industrial_vehicles,4,2097896,99.97783984738565,Other
recreational_vehicle_parts_and_accessories,4,2097900,99.97803047235438,Other
refinishing_services,4,2097904,99.9782210973231,Other
batting_cage,4,2097908,99.97841172229182,Social & Leisure
architectural_tours,4,2097912,99.97860234726055,Social & Leisure
seafood_market,4,2097916,99.97879297222929,Essential needs
leather_products_manufacturer,4,2097920,99.978983597198,Other
farrier_services,4,2097924,99.97917422216673,Other
jamaican_restaurant,4,2097928,99.97936484713546,Social & Leisure
truck_gas_station,4,2097932,99.97955547210418,Essential needs
spring_supplier,4,2097936,99.9797460970729,Essential needs
car_auction,4,2097940,99.97993672204163,Social & Leisure
transcription_services,4,2097944,99.98012734701037,Civic and utility
plaza,4,2097948,99.98031797197908,Social & Leisure
balloon_ports,4,2097952,99.9805085969478,Social & Leisure
pediatric_cardiology,4,2097956,99.98069922191654,Health services
flower_markets,4,2097960,99.98088984688526,Essential needs
bartending_school,4,2097964,99.98108047185399,Education
motorcycle_gear,4,2097968,99.98127109682271,Essential needs
outdoor_movies,4,2097972,99.98146172179143,Social & Leisure
bird_shop,4,2097976,99.98165234676016,Social & Leisure
skylight_installation,4,2097980,99.98184297172888,Other
dentistry_schools,4,2097984,99.98203359669762,Education
scout_hall,4,2097988,99.98222422166634,Social & Leisure
jewelry_repair_service,4,2097992,99.98241484663507,Other
bus_ticket_agency,4,2097996,99.98260547160379,Civic and utility
tabletop_games,4,2098000,99.98279609657251,Social & Leisure
law_schools,4,2098004,99.98298672154124,Education
b2b_tires,3,2098007,99.98312969026777,Essential needs
floral_designer,3,2098010,99.98327265899432,Other
jewelry_manufacturer,3,2098013,99.98341562772087,Other
home_and_rental_insurance,3,2098016,99.98355859644742,Essential needs
roadside_assistance,3,2098019,99.98370156517396,Civic and utility
military_museum,3,2098022,99.9838445339005,Social & Leisure
propane_supplier,3,2098025,99.98398750262704,Essential needs
volleyball_club,3,2098028,99.9841304713536,Social & Leisure
iron_and_steel_store,3,2098031,99.98427344008014,Essential needs
pool_hall,3,2098034,99.98441640880668,Social & Leisure
studio_taping,3,2098037,99.98455937753322,Social & Leisure
dominican_restaurant,3,2098040,99.98470234625977,Social & Leisure
greenhouses,3,2098043,99.98484531498632,Other
certification_agency,3,2098046,99.98498828371287,Education
hockey_arena,3,2098049,99.9851312524394,Social & Leisure
aquarium_services,3,2098052,99.98527422116594,Social & Leisure
alcohol_and_drug_treatment_center,3,2098055,99.98541718989249,Health services
airsoft_fields,3,2098058,99.98556015861904,Social & Leisure
stock_and_bond_brokers,3,2098061,99.98570312734559,Civic and utility
back_shop,3,2098064,99.98584609607212,Social & Leisure
road_structures_and_services,3,2098067,99.98598906479866,Civic and utility
exhaust_and_muffler_repair,3,2098070,99.98613203352521,Essential needs
donation_center,3,2098073,99.98627500225176,Civic and utility
esthetician,3,2098076,99.98641797097831,Health services
sleep_specialist,3,2098079,99.98656093970484,Health services
footwear_wholesaler,3,2098082,99.98670390843138,Essential needs
flatbread_restaurant,3,2098085,99.98684687715793,Social & Leisure
holiday_decor,3,2098088,99.98698984588448,Social & Leisure
wildlife_control,3,2098091,99.98713281461103,Civic and utility
food_court,3,2098094,99.98727578333757,Social & Leisure
surfing_school,3,2098097,99.9874187520641,Social & Leisure
geriatric_psychiatry,3,2098100,99.98756172079065,Health services
go_kart_track,3,2098103,99.9877046895172,Social & Leisure
b2b_dairies,3,2098106,99.98784765824375,Essential needs
manufacturing_and_industrial_consultant,3,2098109,99.98799062697029,Other
ironworkers,3,2098112,99.98813359569682,Other
olive_oil,3,2098115,99.98827656442337,Essential needs
air_duct_cleaning_service,3,2098118,99.98841953314992,Civic and utility
antenna_service,3,2098121,99.98856250187646,Civic and utility
entertainment_law,3,2098124,99.98870547060301,Other
diamond_dealer,3,2098127,99.98884843932956,Other
circus_school,3,2098130,99.9889914080561,Social & Leisure
atelier,3,2098133,99.98913437678264,Social & Leisure
irrigation,3,2098136,99.98927734550918,Civic and utility
south_african_restaurant,3,2098139,99.98942031423573,Social & Leisure
ice_supplier,3,2098142,99.98956328296228,Essential needs
walk_in_clinic,3,2098145,99.98970625168882,Health services
makerspace,3,2098148,99.98984922041537,Education
scooter_rental,3,2098151,99.9899921891419,Social & Leisure
pediatric_endocrinology,3,2098154,99.99013515786845,Health services
ayurveda,2,2098156,99.99023047035281,Health services
